Contrast,H,Label,Broadmann Area,"Bi-sided 
 Voxels",Total Voxels,Peak coordinate X,Peak coordinate Y,Peak coordinate Z,Bi-sided Threshold Voxels,Two-sided Threshold Voxels,Peak t cluster
,L,"Left Superior Frontal Gyrus (79.9 %), Left SMA (14.5 %)",N/A,156*,156*,-16,0,78,,,-3.44
LargeGain > SmallGain (Adu),L,"Left Inferior Parietal Lobule (46.0 %), Left Angular Gyrus (34.7 %)",N/A,331*,331*,-38,-72,56,144,144,3.752
,R,"Right Angular Gyrus (52.0 %), Right Inferior Parietal Lobule (46.8 %)",Right-AngGyrus (39),187*,187*,46,-62,52,,,3.5
SmallGain > LargeGain (Ado),R,"77.3 % overlap with Right_Precuneus, code 68
  15.4 % overlap with Right_Superior_Parietal_Lobule, code 60",Right-DorsalPCC (31),373*,373*,4,-42,54,154,154,3.3703
,L,"59.6 % overlap with Left_SupraMarginal_Gyrus, code 63",N/A,243*,243*,-68,-32,44,,,3.9272
,R,"88.9 % overlap with Right_SupraMarginal_Gyrus, code 64",N/A,187*,187*,68,-34,44,,,3.6561
,L,"69.9 % overlap with Left_Middle_Frontal_Gyrus, code 7
  21.5 % overlap with Left_Precentral_Gyrus, code 1",N/A,175*,175*,-52,16,46,,,-3.3309
SmallGain > LargeGain (Adu),L,"46.0 % overlap with Left_Inferior_Parietal_Lobule, code 61
  34.7 % overlap with Left_Angular_Gyrus, code 65",N/A,331*,331*,-38,-72,56,144,144,-3.7521
,R,"52.0 % overlap with Right_Angular_Gyrus, code 66
  46.8 % overlap with Right_Inferior_Parietal_Lobule, code 62",Right-AngGyrus (39),187*,187*,46,-62,52,,,-3.5001
LargeLoss > SmallLoss (Ado),L,"52.0 % overlap with Left_Inferior_Parietal_Lobule, code 61
  19.3 % overlap with Left_Superior_Parietal_Lobule, code 59
  10.1 % overlap with Left_Angular_Gyrus, code 65",N/A,689*,,-32,-70,64,150,150,3.5863
,R,"49.4 % overlap with Right_Cuneus, code 46
  43.6 % overlap with Right_Superior_Occipital_Gyrus, code 50",N/A,427*,,10,-94,30,,,-3.3522
,L,"58.8 % overlap with Left_Superior_Occipital_Gyrus, code 49
  28.9 % overlap with Left_Cuneus, code 45
  10.2 % overlap with Left_Middle_Occipital_Gyrus, code 51",N/A,335*,,-12,-94,34,,,-3.3732
,L,"71.5 % overlap with Left_Cerebellum_(Crus_1), code 91
  28.4 % overlap with Left_Cerebellum_(VI), code 99",N/A,256*,,-38,-72,-20,,,3.7509
,R,"88.1 % overlap with Right_Inferior_Parietal_Lobule, code 62",N/A,254*,,52,-50,60,,,3.3033
,L,"61.2 % overlap with Left_Precentral_Gyrus, code 1",N/A,224*,,-48,2,60,,,4.6771
,L,"24.1 % overlap with Cerebellar_Vermis_(7), code 113
  21.2 % overlap with Cerebellar_Vermis_(6), code 112
  18.8 % overlap with Left_Cerebellum_(Crus_1), code 91
  16.0 % overlap with Left_Cerebellum_(Crus_2), code 93",N/A,214*,,0,-86,-20,,,3.5825
,R,"55.8 % overlap with Right_Superior_Parietal_Lobule, code 60
  42.2 % overlap with Right_Angular_Gyrus, code 66",Right-VisMotor (7),180*,,30,-74,58,,,3.3568
,R,"50.6 % overlap with Right_Cerebellum_(VI), code 100
  48.4 % overlap with Right_Cerebellum_(Crus_1), code 92",N/A,153*,,38,-66,-22,,,3.5683
LargeLoss > Small Loss (Adu),R,"24.7 % overlap with Right_Superior_Temporal_Gyrus, code 82
  22.4 % overlap with Right_Postcentral_Gyrus, code 58
  15.3 % overlap with Right_SupraMarginal_Gyrus, code 64
  11.4 % overlap with Right_Rolandic_Operculum, code 18",N/A,4047*,,62,12,-2,143,143,-3.6288
,L,"23.5 % overlap with Left_Cerebellum_(Crus_1), code 91
  18.5 % overlap with Right_Cerebellum_(VI), code 100
  15.6 % overlap with Right_Cerebellum_(Crus_1), code 92
  11.2 % overlap with Left_Cerebellum_(Crus_2), code 93
  10.7 % overlap with Right_Cerebellum_(Crus_2), code 94",N/A,1847*,,0,-84,-18,,,3.7484
,L,"50.3 % overlap with Left_Superior_Temporal_Gyrus, code 81
  15.2 % overlap with Left_SupraMarginal_Gyrus, code 63
  10.8 % overlap with Left_Rolandic_Operculum, code 17",N/A,1593*,,-70,-32,20,,,-3.4883
,L,"32.3 % overlap with Left_Precentral_Gyrus, code 1
  25.6 % overlap with Left_Middle_Frontal_Gyrus, code 7
  17.1 % overlap with Left_Inferior_Frontal_Gyrus_(p._Triangularis), code 13",N/A,1506*,,-44,0,64,,,4.5776
,L,"25.9 % overlap with Left_Middle_Cingulate_Cortex, code 33
  25.7 % overlap with Right_Middle_Cingulate_Cortex, code 34
  11.1 % overlap with Left_Precuneus, code 67
  10.8 % overlap with Right_Precuneus, code 68",Right-VisMotor (7),1479*,,0,-54,68,,,-3.4592
,R,"11.9 % overlap with Right_Caudate_Nucleus, code 72
  11.6 % overlap with Left_Caudate_Nucleus, code 71",N/A,1384*,,0,14,-8,,,-5.0618
,L,"58.4 % overlap with Left_Inferior_Parietal_Lobule, code 61
  25.1 % overlap with Left_Superior_Parietal_Lobule, code 59",N/A,1288*,,-34,-68,60,,,4.0248
,R,"42.2 % overlap with Right_Inferior_Parietal_Lobule, code 62
  34.3 % overlap with Right_Angular_Gyrus, code 66",N/A,1234*,,32,-72,60,,,4.5443
,L,"25.2 % overlap with Left_Calcarine_Gyrus, code 43
  16.6 % overlap with Right_Calcarine_Gyrus, code 44
  16.3 % overlap with Right_Precuneus, code 68
  12.5 % overlap with Left_Cuneus, code 45
  10.5 % overlap with Left_Precuneus, code 67",Left-SecVisual (18),758*,,-14,-60,14,,,-4.9457
,L,"39.7 % overlap with Left_SMA, code 19
  25.9 % overlap with Right_SMA, code 20
  16.0 % overlap with Left_Superior_Medial_Gyrus, code 23
  10.2 % overlap with Right_Superior_Medial_Gyrus, code 24",Right-FrontEyeFields (8),598*,,0,20,50,,,4.5964
,L,"46.8 % overlap with Left_Middle_Occipital_Gyrus, code 51
  22.8 % overlap with Left_Middle_Temporal_Gyrus, code 85",N/A,518*,,-50,-80,30,,,-3.3497
,R,"59.5 % overlap with Right_Middle_Frontal_Gyrus, code 8
  18.4 % overlap with Right_Inferior_Frontal_Gyrus_(p._Triangularis), code 14",N/A,481*,,52,36,34,,,3.6113
,R,"32.0 % overlap with Right_Superior_Medial_Gyrus, code 24
  27.0 % overlap with Left_Superior_Medial_Gyrus, code 23
  13.4 % overlap with Right_Anterior_Cingulate_Cortex, code 32
  12.7 % overlap with Right_Mid_Orbital_Gyrus, code 26",Left-DorsalACC (32),436*,,-6,48,-6,,,-3.4297
,L,"52.1 % overlap with Left_Fusiform_Gyrus, code 55
  20.2 % overlap with Left_ParaHippocampal_Gyrus, code 39
  19.7 % overlap with Left_Lingual_Gyrus, code 47",Left-VisualAssoc (19),311*,,-28,-48,-8,,,-4.8314
,R,"77.9 % overlap with Right_Middle_Temporal_Gyrus, code 86",N/A,285*,,62,-62,18,,,-3.4376
,L,"46.4 % overlap with Left_Calcarine_Gyrus, code 43
  23.8 % overlap with Left_Middle_Occipital_Gyrus, code 51
  21.0 % overlap with Left_Inferior_Occipital_Gyrus, code 53",N/A,261*,,-8,-100,-4,,,3.5016
,R,"44.9 % overlap with Right_Medial_Temporal_Pole, code 88
  26.6 % overlap with Right_Temporal_Pole, code 84
  25.9 % overlap with Right_Inferior_Temporal_Gyrus, code 90",Right-ParsObitalis (47),193*,,44,26,-22,,,-3.4067
,R,"43.6 % overlap with Right_Fusiform_Gyrus, code 56
  37.3 % overlap with Right_ParaHippocampal_Gyrus, code 40
  17.1 % overlap with Right_Lingual_Gyrus, code 48",Right-Fusiform (37),186*,,24,-40,-12,,,-4.5077
,L,"39.8 % overlap with Left_Insula_Lobe, code 29
  21.1 % overlap with Left_Superior_Temporal_Gyrus, code 81",Left-SupTempGyrus (22),185*,,-40,-18,-4,,,-4.38386
,R,"66.4 % overlap with Cerebellar_Vermis_(4/5), code 111
  25.9 % overlap with Right_Cerebellum_(IV-V), code 98",N/A,179*,,0,-52,-16,,,3.9409
,R,"66.7 % overlap with Right_Cuneus, code 46
  25.1 % overlap with Right_Superior_Occipital_Gyrus, code 50",N/A,156*,,14,-90,42,,,-4.1073
,L,"47.3 % overlap with Left_Middle_Frontal_Gyrus, code 7
  18.8 % overlap with Left_Middle_Orbital_Gyrus, code 9
  18.1 % overlap with Left_Inferior_Frontal_Gyrus_(p._Triangularis), code 13
  15.2 % overlap with Left_Inferior_Frontal_Gyrus_(p._Orbitalis), code 15",Right-OrbFrontal (11),153*,,-46,54,4,,,3.3533
,R,"51.5 % overlap with Right_Mid_Orbital_Gyrus, code 26
  33.8 % overlap with Left_Mid_Orbital_Gyrus, code 25",N/A,153*,,0,50,-16,,,-3.7614
SmallLoss>LargeLoss (Ado),L,"52.0 % overlap with Left_Inferior_Parietal_Lobule, code 61
  19.3 % overlap with Left_Superior_Parietal_Lobule, code 59
  10.1 % overlap with Left_Angular_Gyrus, code 65",N/A,689*,689*,-32,-70,64,150,150,-3.586
,R,"49.4 % overlap with Right_Cuneus, code 46
  43.6 % overlap with Right_Superior_Occipital_Gyrus, code 50",N/A,427*,427*,10,-94,30,,,3.352
,L,"58.8 % overlap with Left_Superior_Occipital_Gyrus, code 49
  28.9 % overlap with Left_Cuneus, code 45
  10.2 % overlap with Left_Middle_Occipital_Gyrus, code 51",N/A,335*,335*,-12,-94,34,,,3.373
,L,"71.5 % overlap with Left_Cerebellum_(Crus_1), code 91
  28.4 % overlap with Left_Cerebellum_(VI), code 99",N/A,256*,256*,-38,-72,-20,,,-3.751
,L,"61.2 % overlap with Left_Precentral_Gyrus, code 1",N/A,254*,254*,52,-50,60,,,-3.303
,L,"61.2 % overlap with Left_Precentral_Gyrus, code 1",N/A,224*,224*,-48,2,60,,,-4.677
,,"24.1 % overlap with Cerebellar_Vermis_(7), code 113
  21.2 % overlap with Cerebellar_Vermis_(6), code 112
  18.8 % overlap with Left_Cerebellum_(Crus_1), code 91
  16.0 % overlap with Left_Cerebellum_(Crus_2), code 93",N/A,214*,214*,0,-86,-20,,,-3.583
,R,"55.8 % overlap with Right_Superior_Parietal_Lobule, code 60
  42.2 % overlap with Right_Angular_Gyrus, code 66",Right-VisMotor (7),180*,180*,30,-74,58,,,-3.357
,R,"50.6 % overlap with Right_Cerebellum_(VI), code 100
  48.4 % overlap with Right_Cerebellum_(Crus_1), code 92",N/A,153*,153*,38,-66,-22,,,-3.568
SmallLoss>LargeLoss (Adu),R,"24.7 % overlap with Right_Superior_Temporal_Gyrus, code 82
  22.4 % overlap with Right_Postcentral_Gyrus, code 58
  15.3 % overlap with Right_SupraMarginal_Gyrus, code 64
  11.4 % overlap with Right_Rolandic_Operculum, code 18",N/A,4070*,4070*,62,12,-2,143,143,3.629
,L,"23.5 % overlap with Left_Cerebellum_(Crus_1), code 91
  18.5 % overlap with Right_Cerebellum_(VI), code 100
  15.6 % overlap with Right_Cerebellum_(Crus_1), code 92
  11.2 % overlap with Left_Cerebellum_(Crus_2), code 93
  10.7 % overlap with Right_Cerebellum_(Crus_2), code 94",N/A,1847*,1847*,0,-84,-18,,,-3.748
,L,"50.3 % overlap with Left_Superior_Temporal_Gyrus, code 81
  15.2 % overlap with Left_SupraMarginal_Gyrus, code 63
  10.8 % overlap with Left_Rolandic_Operculum, code 17",N/A,1593*,1593*,-70,-32,20,,,3.488
,L,"32.3 % overlap with Left_Precentral_Gyrus, code 1
  25.6 % overlap with Left_Middle_Frontal_Gyrus, code 7
  17.1 % overlap with Left_Inferior_Frontal_Gyrus_(p._Triangularis), code 13",N/A,1506*,1506*,-44,0,64,,,-4.578
,L,"25.9 % overlap with Left_Middle_Cingulate_Cortex, code 33
  25.7 % overlap with Right_Middle_Cingulate_Cortex, code 34
  11.1 % overlap with Left_Precuneus, code 67
  10.8 % overlap with Right_Precuneus, code 68",Right-VisMotor (7),1479*,1479*,0,-54,68,,,3.459
,R,"11.9 % overlap with Right_Caudate_Nucleus, code 72
  11.6 % overlap with Left_Caudate_Nucleus, code 71",N/A,1384*,1384*,0,14,-8,,,5.061
,L,"58.4 % overlap with Left_Inferior_Parietal_Lobule, code 61
  25.1 % overlap with Left_Superior_Parietal_Lobule, code 59",N/A,1288*,1288*,-34,-68,60,,,-4.025
,R,"42.2 % overlap with Right_Inferior_Parietal_Lobule, code 62
  34.3 % overlap with Right_Angular_Gyrus, code 66",N/A,1234*,1234*,32,-72,60,,,-4.544
,L,"25.2 % overlap with Left_Calcarine_Gyrus, code 43
  16.6 % overlap with Right_Calcarine_Gyrus, code 44
  16.3 % overlap with Right_Precuneus, code 68
  12.5 % overlap with Left_Cuneus, code 45
  10.5 % overlap with Left_Precuneus, code 67",Left-SecVisual (18),758*,758*,-14,-60,14,,,4.946
,L,"39.7 % overlap with Left_SMA, code 19
  25.9 % overlap with Right_SMA, code 20
  16.0 % overlap with Left_Superior_Medial_Gyrus, code 23
  10.2 % overlap with Right_Superior_Medial_Gyrus, code 24",Right-FrontEyeFields (8),598*,598*,0,20,50,,,-4.597
,L,"46.8 % overlap with Left_Middle_Occipital_Gyrus, code 51
  22.8 % overlap with Left_Middle_Temporal_Gyrus, code 85",N/A,518*,518*,-50,-80,30,,,3.347
,R,"59.5 % overlap with Right_Middle_Frontal_Gyrus, code 8
  18.4 % overlap with Right_Inferior_Frontal_Gyrus_(p._Triangularis), code 14",N/A,481*,481*,52,36,34,,,-3.611
,L,"32.0 % overlap with Right_Superior_Medial_Gyrus, code 24
  27.0 % overlap with Left_Superior_Medial_Gyrus, code 23
  13.4 % overlap with Right_Anterior_Cingulate_Cortex, code 32
  12.7 % overlap with Right_Mid_Orbital_Gyrus, code 26",Left-DorsalACC (32),436*,436*,-6,48,-6,,,3.43
,L,"52.1 % overlap with Left_Fusiform_Gyrus, code 55
  20.2 % overlap with Left_ParaHippocampal_Gyrus, code 39
  19.7 % overlap with Left_Lingual_Gyrus, code 47",Left-VisualAssoc (19),311*,311*,-28,-48,-8,,,4.831
,R,"77.9 % overlap with Right_Middle_Temporal_Gyrus, code 86",N/A,285*,285*,62,-62,18,,,3.438
,L,"46.4 % overlap with Left_Calcarine_Gyrus, code 43
  23.8 % overlap with Left_Middle_Occipital_Gyrus, code 51
  21.0 % overlap with Left_Inferior_Occipital_Gyrus, code 53",N/A,261*,261*,8,-100,-4,,,-3.502
,R,"44.9 % overlap with Right_Medial_Temporal_Pole, code 88
  26.6 % overlap with Right_Temporal_Pole, code 84
  25.9 % overlap with Right_Inferior_Temporal_Gyrus, code 90",Right-ParsObitalis (47),193*,193*,44,26,-22,,,3.407
,R,"43.6 % overlap with Right_Fusiform_Gyrus, code 56
  37.3 % overlap with Right_ParaHippocampal_Gyrus, code 40
  17.1 % overlap with Right_Lingual_Gyrus, code 48",Right-Fusiform (37),186*,186*,24,-40,-12,,,4.508
,L,"39.8 % overlap with Left_Insula_Lobe, code 29
  21.1 % overlap with Left_Superior_Temporal_Gyrus, code 81",Left-SupTempGyrus (22),185*,185*,-40,-18,-4,,,4.384
,,"66.4 % overlap with Cerebellar_Vermis_(4/5), code 111
  25.9 % overlap with Right_Cerebellum_(IV-V), code 98",N/A,179*,179*,0,-52,-16,,,-3.941
,R,"66.7 % overlap with Right_Cuneus, code 46
  25.1 % overlap with Right_Superior_Occipital_Gyrus, code 50",N/A,156*,156*,14,-90,42,,,4.107
,R,"51.5 % overlap with Right_Mid_Orbital_Gyrus, code 26
  33.8 % overlap with Left_Mid_Orbital_Gyrus, code 25",Right-OrbFrontal (11),153*,153*,0,50,-16,,,3.761
,L,"47.3 % overlap with Left_Middle_Frontal_Gyrus, code 7
  18.8 % overlap with Left_Middle_Orbital_Gyrus, code 9
  18.1 % overlap with Left_Inferior_Frontal_Gyrus_(p._Triangularis), code 13
  15.2 % overlap with Left_Inferior_Frontal_Gyrus_(p._Orbitalis), code 15",N/A,153*,153*,-46,54,4,,,-3.353
LargeGain > LargeLoss (Ado),L,"20.3 % overlap with Left_Inferior_Occipital_Gyrus, code 53
  19.7 % overlap with Left_Lingual_Gyrus, code 47
  16.2 % overlap with Left_Calcarine_Gyrus, code 43
  12.4 % overlap with Left_Cerebellum_(Crus_1), code 91
  12.1 % overlap with Left_Middle_Occipital_Gyrus, code 51",Lef-SecVisual (18),1522*,1522*,-6,-102,-10,153,153,-3.654
,L,"37.1 % overlap with Left_Superior_Parietal_Lobule, code 59
  34.3 % overlap with Left_Inferior_Parietal_Lobule, code 61",N / A,1369*,1369*,0,-72,54,,,-4.196
,R,"32.8 % overlap with Right_Lingual_Gyrus, code 48
  17.4 % overlap with Right_Cerebellum_(VI), code 100
  15.8 % overlap with Right_Cerebellum_(Crus_1), code 92
  15.3 % overlap with Right_Calcarine_Gyrus, code 44
  11.3 % overlap with Right_Inferior_Occipital_Gyrus, code 54",Right-PrimVisual (17),718*,718*,12,-96,-8,,,-3.835
,R,"35.4 % overlap with Right_Superior_Parietal_Lobule, code 60
  18.4 % overlap with Right_Superior_Occipital_Gyrus, code 50
  18.0 % overlap with Right_Angular_Gyrus, code 66",Right-PreMot+SuppMot (6),544*,544*,28,-7,58,,,-3.39
,L,"71.5 % overlap with Left_Precentral_Gyrus, code 1
  15.0 % overlap with Left_Inferior_Frontal_Gyrus_(p._Opercularis), code 11",Left-PreMot+SuppMot (6),493*,493*,-58,10,40,,,-4.376
,R,"34.5 % overlap with Right_Superior_Frontal_Gyrus, code 4
  21.0 % overlap with Right_Middle_Frontal_Gyrus, code 8",N / A,380*,380*,38,2,68,,,-3.642
,R,"34.5 % overlap with Right_Superior_Frontal_Gyrus, code 4
  21.0 % overlap with Right_Middle_Frontal_Gyrus, code 8",N / A,274*,274*,6,-82,-18,,,-3.519
,L,"59.0 % overlap with Left_SMA, code 19
  33.5 % overlap with Right_SMA, code 20",N / A,272*,272*,0,14,52,,,-4.291
,L,"35.6 % overlap with Left_Middle_Frontal_Gyrus, code 7
  24.7 % overlap with Left_Precentral_Gyrus, code 1
  22.5 % overlap with Left_Superior_Frontal_Gyrus, code 3",N / A,271*,271*,-28,2,74,,,-4.227
,L,"75.6 % overlap with Left_Insula_Lobe, code 29
  10.2 % overlap with Left_Inferior_Frontal_Gyrus_(p._Triangularis), code 13",Left-Broca-Triang (45),165*,165*,-50,18,-2,,,-3.363
,,,,,,,,,,,
LargeGain > LargeLoss (Adu),L,"18.6 % overlap with Left_Superior_Medial_Gyrus, code 23
  14.7 % overlap with Left_Mid_Orbital_Gyrus, code 25",Left-OrbFrontal (11),2942*,2942*,-4,46,-20,149,149,3.794
,L,"50.7 % overlap with Left_Inferior_Parietal_Lobule, code 61
  41.3 % overlap with Left_Superior_Parietal_Lobule, code 59",N / A,1379*,1379*,-16,-70,66,,,-3.481
,L,"20.2 % overlap with Left_Lingual_Gyrus, code 47
  18.8 % overlap with Left_Calcarine_Gyrus, code 43
  17.6 % overlap with Left_Inferior_Occipital_Gyrus, code 53
  12.8 % overlap with Left_Fusiform_Gyrus, code 55
  10.4 % overlap with Left_Cerebellum_(Crus_1), code 91",N / A,1187*,1187*,-26,-78,-18,,,-4.089
,R,"30.8 % overlap with Right_Inferior_Parietal_Lobule, code 62
  23.4 % overlap with Right_Superior_Parietal_Lobule, code 60
  17.8 % overlap with Right_Angular_Gyrus, code 66",N / A,1075*,1075*,32,-70,62,,,-3.768
,L,"31.4 % overlap with Left_Precuneus, code 67
  17.4 % overlap with Left_Calcarine_Gyrus, code 43
  12.4 % overlap with Left_Middle_Cingulate_Cortex, code 33
  9.9 % overlap with Left_Cuneus, code 45",N / A,1044*,1044*,-4,-52,8,,,5.227
,L,"53.3 % overlap with Left_Precentral_Gyrus, code 1
  21.8 % overlap with Left_Inferior_Frontal_Gyrus_(p._Triangularis), code 13
  15.5 % overlap with Left_Middle_Frontal_Gyrus, code 7",N / A,767*,767*,-56,10,44,,,-3.669
,R,"34.6 % overlap with Right_Cerebellum_(VI), code 100
  18.9 % overlap with Right_Cerebellum_(Crus_1), code 92
  17.0 % overlap with Right_Cerebellum_(Crus_2), code 94
  14.9 % overlap with Cerebellar_Vermis_(7), code 113",N / A,629*,629*,26,-86,-20,,,-3.586
,L,"55.6 % overlap with Left_Middle_Frontal_Gyrus, code 7
  39.3 % overlap with Left_Superior_Frontal_Gyrus, code 3",N / A,348*,348*,-28,38,52,,,3.491
,L,"40.3 % overlap with Left_Middle_Occipital_Gyrus, code 51
  12.9 % overlap with Left_Angular_Gyrus, code 65",N / A,329*,329*,-38,-84,42,,,3.402
,R,"51.7 % overlap with Right_SupraMarginal_Gyrus, code 64
  20.2 % overlap with Right_Superior_Temporal_Gyrus, code 82
  15.2 % overlap with Right_Rolandic_Operculum, code 18",Right-SupramargGyr (40),326*,326*,68,-20,16,,,3.553
,L,"42.9 % overlap with Left_Precentral_Gyrus, code 1",N / A,318*,318*,-32,-10,76,,,-4.264
,L,"85.3 % overlap with Left_Superior_Temporal_Gyrus, code 81
  13.6 % overlap with Left_SupraMarginal_Gyrus, code 63",Left-SupTempGyrus (22),287*,287*,-58,-30,16,,,4.629
,,"62.0 % overlap with Left_SMA, code 19
  38.0 % overlap with Right_SMA, code 20",N / A,192*,192*,0,16,52,,,-3.923
,R,"49.5 % overlap with Right_Precentral_Gyrus, code 2
  30.7 % overlap with Right_Inferior_Frontal_Gyrus_(p._Opercularis), code 12
  15.1 % overlap with Right_Middle_Frontal_Gyrus, code 8",Right-FrontEyeFields (8),175*,175*,40,4,34,,,-4.595
Gist > Verbatim (Adu),L,"54.6 % overlap with Left_Calcarine_Gyrus, code 43
  
 23.7 % overlap with Left_Cuneus, code 45
  
 12.3 % overlap with Left_Lingual_Gyrus, code 47
  
 6.5 % overlap with Left_Superior_Occipital_Gyrus, code 49",Right-SecVisual(18),339*,339*,0,-94,22,151,151,3.517
,R,"62.2 % overlap with Right_Calcarine_Gyrus, code 44
  
 19.3 % overlap with Right_Lingual_Gyrus, code 48
  
  
 15.7 % overlap with Right_Cuneus, code 46",Right-PrimVisual(17),261*,261*,10,-82,6,,,4.324
,L,"58.8 % overlap with Left_Middle_Occipital_Gyrus, code 51",Left-SecVisual(18),191*,191*,-26,-102,6,,,-3.976
,,,,,,,,,,,
Verbatim>Gist (Adu),,"54.6 % overlap with Left_Calcarine_Gyrus, code 43
  23.7 % overlap with Left_Cuneus, code 45
  12.3 % overlap with Left_Lingual_Gyrus, code 47",Right-SecVisual (18),339,339,0,-94,22,,,-3.517
,,"62.2 % overlap with Right_Calcarine_Gyrus, code 44
  19.3 % overlap with Right_Lingual_Gyrus, code 48
  15.7 % overlap with Right_Cuneus, code 46",Right-PrimVisual (17),261,261,10,-82,6,,,-4.324
,,"58.8 % overlap with Left_Middle_Occipital_Gyrus, code 51",Left-SecVisual (18),191,191,-26,-102,6,,,3.976
,,,,,,,,,,,
MixedGist > Verbatim (Adu),L,"35.9 % overlap with Left_Calcarine_Gyrus, code 43
  
  22.0 % overlap with Right_Calcarine_Gyrus, code 44","Right-SecVisual
 (18)",2276*,2276*,2,-96,0,155,155,3.335
,,,,,,,,,,,
MixedGist > Verbatim (Ado),L,"63.9 % overlap with Left_Calcarine_Gyrus, code  43
  
  19.7 % overlap with Left_Lingual_Gyrus, code 47",Left-SecVisual(18),480*,480*,-2,-100,-4,156,156,3.457
,R,"69.6 % overlap with Right_Calcarine_Gyrus, code 44
  
  18.6 % overlap with Right_Cuneus, code 46",Right-PrimVisual(17),388*,388*,10,-96,-2,,,3.325
,R,"96.3 % overlap with Right_Lingual_Gyrus, code 48",Right-SecVisual(18),22,22,8,-78,-12,,,3.449
,L,"93.6 % overlap with Left_Inferior_Frontal_Gyrus_(p._Orbitalis), code 15",Left-ParsOrbitalis(47),21,21,-46,36,-18,,,-3.871
,,,,,,,,,,,
Verbatim > MixedGist (Adu),L,"35.9 % overlap with Left_Calcarine_Gyrus, code 43
  22.0 % overlap with Right_Calcarine_Gyrus, code 44",Right-SecVisual(18),2276*,2276*,2,-96,0,158,158,-3.335
,,,,,,,,,,,
Verbatim > MixedGist (Ado),L,"67.4 % overlap with Left_Calcarine_Gyrus, code 43
  12.0 % overlap with Left_Lingual_Gyrus, code 47
  10.7 % overlap with Left_Superior_Occipital_Gyrus, code 49",Left-SecVisual(18),357*,357*,-2,-100,4,153,153,-3.738
,R,"65.3 % overlap with Right_Calcarine_Gyrus, code 44
  23.3 % overlap with Right_Cuneus, code 46","Right-PrimVisual(17
 )",222*,222*,10,-96,2,,,-3.43
,,,,,,,,,,,
Gist > VerbatimMixed (Ado),L,"39.3 % overlap with Left_Middle_Occipital_Gyrus, code 51
  20.8 % overlap with Left_Inferior_Occipital_Gyrus, code 53
  13.7 % overlap with Left_Calcarine_Gyrus, code 43",Left-SecVisual(18),1010*,1010*,-10,-106,-6,152,152,-3.899
,,,,,,,,,,,
,R,"54.0 % overlap with Right_Calcarine_Gyrus, code 44",Right-SecVisual(18),197*,197*,10,-102,4,,,-3.881
,R,"46.3 % overlap with Right_Superior_Occipital_Gyrus, code 50
  15.1 % overlap with Right_Angular_Gyrus, code 66",Right-VisMotor (7),159*,159*,26,-66,44,,,-4.029
Gist > VerbatimMixed (Ado),,"32.3 % overlap with Left_Middle_Occipital_Gyrus, code 51
  18.0 % overlap with Left_Inferior_Occipital_Gyrus, code 53
  13.0 % overlap with Left_Lingual_Gyrus, code 47",Left-SecVisual(18),1725*,1725*,-26,-102,6,156,156,-4.901
,,"22.4 % overlap with Right_Inferior_Occipital_Gyrus, code 54
  20.5 % overlap with Right_Lingual_Gyrus, code 48
  15.0 % overlap with Right_Middle_Occipital_Gyrus, code 52
  14.0 % overlap with Right_Calcarine_Gyrus, code 44",N / A,1488*,1488*,12,-100,20,,,-3.459
,,,,,,,,,,,
"GistGain_V_VGain
  
 (Adu)",L,"55.1 % overlap with Left_Middle_Occipital_Gyrus, code 51
  
  21.0 % overlap with Left_Inferior_Occipital_Gyrus, code 53",Left-SecVisual(18),195*,195*,-26,-102,6,157,157,-4.129
,L,"51.5 % overlap with Left_Calcarine_Gyrus, code 43
  
 30.8 % overlap with Left_Cuneus, code 45
  
 15.9 % overlap with Left_Superior_Occipital_Gyrus, code 49
  
  1.4 % overlap with Left_Lingual_Gyrus, code 47",Left-SecVisual(18),164*,164*,-2,-94,20,,,3.681
,R,"92.1 % overlap with Right_Cuneus, code 46
  
 5.1 % overlap with Right_Superior_Occipital_Gyrus, code 50
  
  2.9 % overlap with Right_Calcarine_Gyrus, code 44",Right-VisualAssoc(19),161*,161*,12,-88,30,,,3.291
,,,,,,,,,,,
GLargeGain>VLargeGain (Adu),R,"66.4 % overlap with Right_Cuneus, code 46
  
  30.6 % overlap with Right_Superior_Occipital_Gyrus, code 50
 2.9 % overlap with Left_Cuneus, code 45",Right-VisualAssoc (19),215*,215*,14,-90,34,144,144,3.293
,,,,,,,,,,,
VLargeGain>GLargeGain (adu),R,"66.4 % overlap with Right_Cuneus,
 30.6 % overlap with Right_Superior_Occipital_Gyrus
 2.9 % overlap with Left_Cuneus",Right-VisualAssoc (19),215*,215*,14,-90,34,152,152,-3.293
VSmallRisk>MSmallRIsk (ado),L,"46.4 % overlap with Left_Middle_Occipital_Gyrus
  16.1 % overlap with Left_Calcarine_Gyrus
  11.8 % overlap with Left_Inferior_Occipital_Gyrus
  10.9 % overlap with Left_Superior_Occipital_Gyrus",N/A,682*,682*,-14,-104,14,146,146,-3.964
,R,68.1 % overlap with Right_Calcarine_Gyrus,Right-SecVisual (18),303*,303*,12,-104,4,,,-4.081
